"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"134",0.2,0.01,1,2,9,100,1.4e+06,400,20,8000,4e+04,0.2,319.604453404553,TRUE,320.641391406126,754.148482497471,1.0369380015735
"135",0.3,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,375.80497477497,TRUE,377.09884255999,887.519504942326,1.29386778501993
"136",0.1,0.01,1,2,10.3,100,1.4e+06,400,20,8000,4e+04,0.2,335.618256128082,TRUE,336.724580004135,776.028782534329,1.10632387605335
"137",0.2,0.01,1,2,8.8,100,1.4e+06,400,20,8000,4e+04,0.2,352.344115235719,TRUE,353.481888416484,838.68231951603,1.13777318076529
"138",0.3,0.01,1,2,10.2,100,1.4e+06,400,20,8000,4e+04,0.2,368.821822793379,TRUE,370.136255153851,881.573509450423,1.31443236047261
"139",0.1,0.01,1,2,8.8,100,1.4e+06,400,20,8000,4e+04,0.2,373.24275812544,TRUE,374.532530908339,860.746738125162,1.28977278289926
"140",0.2,0.01,1,2,10.5,100,1.4e+06,400,20,8000,4e+04,0.2,330.199821101491,TRUE,331.259487025176,771.893948703494,1.05966592368532
"141",0.3,0.01,1,2,11.7,100,1.4e+06,400,20,8000,4e+04,0.2,355.518801156595,TRUE,356.70809129273,830.593294191386,1.18929013613518
"142",0.1,0.01,1,2,9.6,100,1.4e+06,400,20,8000,4e+04,0.2,371.771833148439,TRUE,373.044555098371,926.027789206696,1.27272194993117
"143",0.2,0.01,1,2,9.8,100,1.4e+06,400,20,8000,4e+04,0.2,366.241037718289,TRUE,367.507788892306,867.520655279124,1.2667511740172
"144",0.3,0.01,1,2,6.9,100,1.4e+06,400,20,8000,4e+04,0.2,367.973423515773,TRUE,369.364489036139,885.094816856962,1.3910655203656
"145",0.1,0.01,1,2,11.8,100,1.4e+06,400,20,8000,4e+04,0.2,354.252893800676,TRUE,355.413192591041,819.19592987044,1.16029879036455
"146",0.2,0.01,1,2,7.3,100,1.4e+06,400,20,8000,4e+04,0.2,346.95018834308,TRUE,348.058610986888,792.333356474911,1.10842264380835
"147",0.3,0.01,1,2,9.6,100,1.4e+06,400,20,8000,4e+04,0.2,332.30682428533,TRUE,333.442585687451,789.116671383051,1.13576140212115
"148",0.1,0.01,1,2,9.1,100,1.4e+06,400,20,8000,4e+04,0.2,320.195641995865,TRUE,321.225177396794,743.059561021725,1.02953540092881
"149",0.2,0.01,1,2,10.2,100,1.4e+06,400,20,8000,4e+04,0.2,345.987933781632,TRUE,347.100848240775,828.00012997167,1.11291445914281
"150",0.3,0.01,1,2,9.5,100,1.4e+06,400,20,8000,4e+04,0.2,341.466753757515,TRUE,342.578827960465,775.18840328908,1.11207420295034
"151",0.1,0.01,1,2,10.3,100,1.4e+06,400,20,8000,4e+04,0.2,338.181143400864,TRUE,339.335243945952,796.120004592117,1.15410054508811
"152",0.2,0.01,1,2,9.2,100,1.4e+06,400,20,8000,4e+04,0.2,343.886288090419,TRUE,344.431349337935,817.342434635466,0.545061247515946
"153",0.3,0.01,1,2,10.6,100,1.4e+06,400,20,8000,4e+04,0.2,343.53140107234,TRUE,344.689478910747,826.222317041043,1.1580778384066
"154",0.1,0.01,1,2,11.1,100,1.4e+06,400,20,8000,4e+04,0.2,380.134057396191,TRUE,381.494115143684,952.403590364292,1.36005774749293
"155",0.2,0.01,1,2,10.1,100,1.4e+06,400,20,8000,4e+04,0.2,322.112998578322,TRUE,323.177005303043,786.157405455533,1.06400672472091
"156",0.3,0.01,1,2,9.8,100,1.4e+06,400,20,8000,4e+04,0.2,358.481288649593,TRUE,359.7338836836,854.474185469528,1.25259503400702
"157",0.1,0.01,1,2,8.5,100,1.4e+06,400,20,8000,4e+04,0.2,349.967844401419,TRUE,351.11805872084,835.485084355481,1.15021431942148
"158",0.2,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,346.671850027886,TRUE,347.86130024805,804.329687349173,1.18945022016368
"159",0.3,0.01,1,2,11.3,100,1.4e+06,400,20,8000,4e+04,0.2,345.224163575696,TRUE,346.449067263182,791.85841200423,1.22490368748595
"160",0.1,0.01,1,2,6.8,100,1.4e+06,400,20,8000,4e+04,0.2,361.778746386695,TRUE,362.902079705277,801.808568583299,1.12333331858162
"161",0.2,0.01,2,2,7.5,100,1.4e+06,400,20,8000,4e+04,0.2,368.575075774718,TRUE,369.845853328693,842.217258883869,1.27077755397522
"162",0.3,0.01,1,2,7.5,100,1.4e+06,400,20,8000,4e+04,0.2,361.810045250779,TRUE,363.091341294578,886.78190969337,1.28129604379899
"163",0.1,0.01,1,2,10,100,1.4e+06,400,20,8000,4e+04,0.2,324.609041139289,TRUE,325.605443985845,731.208226737448,0.996402846555725
"164",0.2,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,344.646432204517,TRUE,345.782025236871,835.064277347467,1.13559303235445
"165",0.3,0.01,2,2,9.2,100,1.4e+06,400,20,8000,4e+04,0.2,378.926306581693,TRUE,380.206668552261,917.580025338923,1.28036197056747
"166",0.1,0.01,1,2,10.5,100,1.4e+06,400,20,8000,4e+04,0.2,370.691151961479,TRUE,371.832132210995,850.125289047264,1.14098024951625
"167",0.2,0.01,1,2,9.1,100,1.4e+06,400,20,8000,4e+04,0.2,357.786136113385,TRUE,359.029362595092,882.314974420153,1.24322648170738
"168",0.3,0.01,1,2,7.5,100,1.4e+06,400,20,8000,4e+04,0.2,391.863609644232,TRUE,393.326347946055,925.037217069196,1.46273830182332
"169",0.1,0.01,1,2,8.7,100,1.4e+06,400,20,8000,4e+04,0.2,337.940478914861,TRUE,339.008258760863,766.764966964889,1.06777984600171
"170",0.2,0.01,2,2,10.3,100,1.4e+06,400,20,8000,4e+04,0.2,352.11134907824,TRUE,353.281586834462,780.07652486387,1.1702377562213
"171",0.3,0.01,1,2,8.1,100,1.4e+06,400,20,8000,4e+04,0.2,383.989553125838,TRUE,385.371287170601,953.830152805048,1.3817340447635
"172",0.1,0.01,1,2,10.4,100,1.4e+06,400,20,8000,4e+04,0.2,355.281851138813,TRUE,356.460285495157,848.640585010617,1.1784343563445
"173",0.2,0.01,1,2,6.7,100,1.4e+06,400,20,8000,4e+04,0.2,379.195755137214,TRUE,380.364022961477,880.387713982928,1.16826782426318
